Strain,Type,Rating,Effects,Flavor,Description,labels
1024,sativa,4,UpliftedHappyRelaxedEnergeticCreative,SpicyHerbalSageWoody,1024 is a sativadominant hybrid bred in Spain by Medical Seeds Co The breeders claim to guard the secret genetics due to security reasons but regardless of its genetic heritage 1024 is a THC powerhouse with a sweet and spicy bouquet Subtle fruit flavors mix with an herbal musk to produce uplifting sativa effects One specific phenotype is noted for having a pungent odor that fills a room similar to burning incense,0
3BearsOg,indica,0,,,3 Bears OG by Mephisto Genetics is an autoflowering cross of Bear OG Karmas OG Cut and Triangle Kush This indicadominant strain generates pungent flavorful buds in a smaller more manageable plant size Mephisto Genetics describes 3 Bears OG as a cornerstone to their artisanal collection blending the best attributes of the fabled OG Kush with a compact controllable growth structure The 3 Bears OG has an approximate 70day growth cycle and offers effects that stimulate the appetite while leading the body toward sleep,1
303Og,indica,4,RelaxedHappyEuphoricUpliftedGiggly,CitrusPungentEarthy,The indicadominant 303 OG is a Colorado strain bred by crossing Pre98 Bubba Kush and Chemdawg Its parent strains pass on a complex flavor profile of coffee and spice with diesel undertones Its buzz can be described as social and creative a dreamy experience perfect for letting off steam at the end of the work day The happy euphoria induced by 303 OG may help patients treating depression anxiety and stress disorders,1
3DCbd,sativa,4,UpliftedFocusedHappyTalkativeRelaxed,EarthyWoodyFlowery,3D CBD from Snoop Doggs branded line of cannabis strains was crafted with patients in mind With a THCCBD ratio of about 58 this earthyflavored sativa is preferred for treating pain inflammation and muscle tension Consumers susceptible to THCinduced anxiety may also appreciate the sobering relaxing balance CBD has to offer,0
3XCrazy,indica,4,RelaxedTinglyHappyEuphoricUplifted,EarthyGrapeSweet,Also known as Optimus Prime the indicadominant 3X Crazy is a threeway cross between OG Kush Bubba Kush and Granddaddy Purple Its aroma is comprised of sweet grape spicy pepper and earthy notes passed on by its Bubba Kush parent This indica will leave you sedated with soothing fullbody effects but not before a brief phase of clearheaded cerebral psychoactivity The relaxing effects induced by 3X Crazy can be used to treat a variety of severe symptoms some of which include pain spasms tension and insomnia,1
5ThElement,indica,4,RelaxedFocusedEuphoricUpliftedAroused,EarthyWoodyPine,Elemental Seeds crossed Blackberry with All Spark OG to create this impressive strain 5th Element produces huge yields of sticky buds that feature a powerful earthy lemony smell and flavor The effects are quite strong with a good mix of cerebral and body highs,1
8BallKush,indica,4,RelaxedUpliftedHappyCreativeEuphoric,CitrusEarthyPine,Bred by Barneys Farm 8 Ball Kush is a pure indica variety descended from an Afghani landrace strain Like many other cannabis varieties that come from the Hindu Kush region 8 Ball Kush produces large amounts of crystal resin that blanket the buds Its aroma is earthy and spicy and you may find its effects to be more cerebrally stimulating than the average indica A hardy and resilient plant 8 Ball Kush has a 50 to 60 day flowering time indoors while outdoor gardens finish at the end of September,1
818Og,indica,4,RelaxedHappyEuphoricGigglySleepy,EarthyDieselFlowery,Named after the telephone area code of the San Fernando Valley in Los Angeles 818 OG is an OG Kush strain popular with patients for treating pain loss of appetite and insomnia Not to be confused with the other OG cut named for the locale the 818 OG has a very fruity flavor that is quite different from the sour earthy fuel taste found in the SFV OG,1
831Og,indica,5,,,831 OG aka Santa Cruz OG is an indicadominant strain developed by 831 Organiks Created by crossing the rare and potent Inferno F1 cut with the West Coast mainstay SFV OG this combination of heavyweight indicas imbues consumers with deep relaxation that borders on sleepy especially with continued consumption The aroma is pure fuel while the flavor opens up with notes of pine earth and lemon Enjoy this strain near the end of the day but beware this strain has been known to reach toward 30 THC ,1
9PoundHammer,indica,4,RelaxedSleepyEuphoricHappyHungry,EarthySweetBerry,9 Pound Hammer is an 80 indica strain that crossesGooberry Hells OG and Jack the Ripper These dense buds are coated in resin offering sweet grape and lime flavors True to its indica dominance effects are heavy and longlasting useful for pain and stress relief Best grown indoors 9Pound Hammer will deliver a heavy yieldfloweringbetween 50 and 60 days,1
91Krypt,indica,4,RelaxedEuphoricHappyHungryUplifted,EarthyPungentBerry,91 Krypt by DNA Genetics is a potent strain by many names Bred from the Chemdawg91 stock crossed with DNAs famous Captain Krypt OG this strain was created for high potency cannabis consumers It emits a deep dank terpene profile that fills the room with skunk and swampy earth With a THC content pushing over 20 on average enjoy 91 Krypt to stimulate appetite while harnessing full body relaxation,1
A10,indica,3,RelaxedFocusedHappySleepyUplifted,CitrusPungentSweet,A10 has an earthy hashy taste that provides a very heavy body stone Frequently used to treat insomnia and chronic pain,1
AbusiveOg,indica,4,RelaxedEuphoricSleepyHappyGiggly,EarthyPineDiesel,A popular Californian cut of OG Kush Abusive OG is an indica strain that inherited the nickname of its original grower Despite its violent name Abusive OG will ease you into in a peaceful state of mind that fades over time to a fullbody relaxation True to its OG genetics Abusive OG has an earthy spice aroma with subtle lemon undertones Patients who dont mind mental haziness might choose this strain to remedy pain anxiety appetite loss and sleeplessness at the end of their day Abusive OG may not produce the highest yields in the garden but makes up for it with resincaked buds,1
AcapulcoGold,sativa,4,HappyUpliftedEuphoricEnergeticRelaxed,EarthySweetPungent,One of the most wellknown strains Acapulco Gold has been likened to dinner at a fivestar restaurant The straincomes from the areas in and around Acapulco Mexico Its orange hairs resemble a gold nugget with gold green and brown colors of resin collecting on the buds An aroma of burnt toffee lingers when the bud is broken upAcapulco Goldhas a reputation for beingone of the best cannabis strains ever created and is becoming more difficult to find due to more growers moving indoors,0
AceKillerOg,indica,4,RelaxedSleepyEuphoricHappyUplifted,EarthyDieselSpicyHerbal,Ace Killer OG is an indica strain that boasts a high THC content and a pungent diesel aroma Bred from White Fire OG Kings Kush Kosher Kush and a mystery strain Ace Killer OG inherits a heavy blanket of snowlike resin and hardhitting effects that can stupefy even the most seasoned veteran,1
AceOfSpades,indica,4,RelaxedEuphoricHappySleepyHungry,EarthySweetWoody,Ace of Spades is a creation from TGA Subcool Seeds that takes advantage of the popular sweet and sour combination that never goes out of style A crossbreed of Black Cherry Soda and Jack the Ripper this strain has an earthy berry and citrus smell that carries over into the taste with distinctly lemony flavors Ace of Spades plants grow fast and need a lot of space because they will get both bushy and tall Flowering occurs at 8 weeks and they are generally large and heavy These buds are pretty to look at with a range of colors that can include purples blues and pinks all coated in orange hairs,1
Aceh,sativa,4,CreativeEuphoricTalkativeEnergeticHappy,EarthyMangoLemon,Aceh also called Atjeh refers to the sativa varieties of cannabis that come from the Aceh region of Indonesia These sativas typically grow tall and thin and are considered the finest among Indonesias landrace varieties,0
AcidDough,sativa,5,TalkativeGigglyHappyHungryRelaxed,,Acid Dough by Ripper Seeds is a sativadominant strain with energetic effects Created by crossing Lilly Queen Mother x Congo x OG Badazz this strain offers sweet candylike aromas with bright pineapple flavors and a generous yield Acid Dough has an approximate 6570 day flowering time and colorful foliage This strain responds well to cold temperatures during the finishing process creating buds with deep violet hues and extra resin production Acid Dough won 2nd Place Best Sativa at the 2017 Spannabis Champions Cups and 2nd Place at the 2016 Expogrow Cup,0
AfghanBigBud,indica,4,EuphoricHappyRelaxedSleepyTalkative,PungentLemonPeach,Spawn from Afghaniand Big Bud Afghan Big Bud or Big Bud Afghani is characterized as a large plant with broad leaves and thick stems It has a dense appearance similar to Big Bud and maintains the taste of Afghani resulting inthe best of both worlds The effects comerelatively quick butusually dissipateunder two hours,1
AfghanCow,sativa,4,FocusedUpliftedHappyEuphoricTalkative,SweetVanilla,This sweetsmelling and resinous sativa breed from Dr Krippling Seeds is sure to keep you off the couch Afghan Cow is bred from Ash Kaya 47 an AK47 phenotype and the beloved Kali Mist The cerebral effects of this sativa are great for clearheaded daytime use Having a high yield both indoors and out this is an impressive plant with even more impressive effects,0
AfghanHawaiian,indica,4,TinglySleepyRelaxedEnergeticAroused,NuttyEarthyChestnut,Afghan Hawaiian is an indicadominant hybrid of UK Cheese and Lavender bred by Canadian LP OrganiGramInc The sweet mix of earthy cheese flavors has hints of licorice and caramel undertones and produces a rush of euphoria that levels off into deep relaxation OrganiGram classifies Afghan Hawaiian with their NDS varieties and recommend it for neurological disorders and spasticity,1
AfghanKush,indica,4,RelaxedSleepyHappyHungryEuphoric,EarthyFloweryWoody,Afghan Kushs roots trace back to the Hindu Kush mountain range near the AfghanistanPakistan border Thereits genotype has been perfected over centuriesmakingit the ultimate source forhash such as charas and the sticky black Afghani hash White Label Seed Company a Sensi Seeds partner from the Netherlands made the seeds of this strain available for everyone to grow The buds of Afghan Kushdevelop into massive blunttopped nuggets full of resin pure indica goodness with a heavy yield Revered for its heavy resin content and powerfully sedating effects Afghan Kush is a top choice for anyone looking to relax after a long day,1
AfghanSkunk,indica,4,SleepyRelaxedHappyHungryGiggly,SkunkWoodySweet,This popular classic strain was originally developed in the United States to cross the pure indica genetics of an Afghani strain with the durable genes of Skunk plants Afghan Skunk quickly spread to Amsterdam and beyond and is now considered one of the classics Its resilient Skunk genes make this plant a popular recommendation for new growers and its legendary high yields make it a favorite all around Flowering happens around 8 weeks and the buds will have a menthol smell combined with the sweet stink skunks are known for Tests have shown THC levels of about 17 so the stink isnt the only thing thats potent about Afghan Skunk,1
AfghanSourKush,indica,4,HungryRelaxedArousedSleepyEuphoric,EarthyDieselPungent,Afghan Sour Kush by MTG Seeds is an indicadominant cross between Afghani and Sour Kush Its heavy relaxing effects are ushered in by a sweet berry aroma and a sharp spicy flavor typical of Kush varieties Stout and sturdy Afghan Sour Kush plants have tight internodal spacing and finish flowering in about 60 days,1
Afghani,indica,4,RelaxedSleepyHappyEuphoricHungry,EarthySweetPine,Afghani is a heavy indica strain named after its geographic origin where the earliest varieties of cannabis are believed to have grown Breeders worldwide have come to treasure Afghani for its heavy resin production which is passed on genetically With a sweet earthy aroma Afghani delivers a deep sedating relaxation and euphoria Patients most commonly turn to this potent indica to treat insomnia pain and stress disorders,1
AfgahniBullrider,indica,4,FocusedUpliftedHappyCreativeRelaxed,LemonCitrusSweet,This strain has quite a few myths circulating about its original appearance It blew up in San Diego before spreading to the rest of the West Coast Afghani Bullrider is pretty to look at with light green buds covered in orange hair and has a strong sweet and sour smell with some piney freshness This strain is a heavy hitter that delivers a strong body without the full sedative effects some indicas can have it heads straight to the brain and may boost creative thoughts while providing physical relaxation With its high levels of THC and CBD Afghani Bullrider is recommended for chronic pain insomnia and anxiety,1
AfghaniCbd,indica,4,RelaxedHappySleepyTinglyCreative,FloweryChemicalSpicyHerbal,Afghani CBD is a highCBD variant of the landrace indicaAfghani grown by Canadian LP Tilray Named after its geographic origin Afghani CBD has relaxing therapeutic properties that have shown potential to help those suffering with insomnia chronic pain and stress disorders,1
Afghanimal,indica,5,HungryRelaxedArousedSleepyFocused,CitrusSkunk,Afghanimal by In House Genetics is a heavy indicaleaning cross of Afghani and Animal Cookies This squat plant offers tight rockhard nuggets that reek of sweet acrid earth intermixed with fruit and floral notes It lends consumers heavy physical effects suited for pain relief relaxation and mood enhancement Afghanimals smaller stature and snappy 78 week flowering time make it a perfect fit for indicaloving indoor growers seeking classic and modern indicadominant genetics,1
Afghooey,indica,4,UpliftedEuphoricRelaxedTalkativeCreative,EarthySweetWoody,Also known as Afgoo Afghooey buds are lightfluffy and heavily laden with a crystal coating of trichomes Working this marijuana in your hand can become a very sticky situation Smoking Afghooey provides you with a best of both worlds indica  sativa high,1
Afgoo,indica,4,RelaxedSleepyHappyEuphoricHungry,SweetPineWoody,Afgoo also known as Afgooey is a potent indica strain that is believed to descend from an Afghani indica and Maui HazeIts sativa parent may lend Afgoo some uplifting creative qualities but this strain undoubtedly takes after its indica parent as it primarily delivers relaxing sleepy effects alongside its earthy pine flavor Growers hoping to cultivate Afgoo may have a better chance of success indoors but this indica can also thrive in Mediterranean climates outdoors,1
Afgooey,indica,4,RelaxedHappySleepyGigglyUplifted,WoodyPinePungent,Afgooey also known as Afgoo is a potent indica strain that is believed to descend from an Afghani indica and Maui Haze Its sativa parent may lend Afgoo some uplifting creative qualities but this strain undoubtedly takes after its indica parent as it primarily delivers relaxing sleepy effects alongside its earthy pine flavor Growers hoping to cultivate Afgoo may have a better chance of success indoors but this indica can also thrive in Mediterranean climates outdoors,1
Afkansastan,indica,3,UpliftedEuphoricGigglyHappyRelaxed,TobaccoEarthy,Afkansastan is a relaxing Afghanlandrace strain that packs a punch It grows stout plants with dense dark green buds that exhibit hints of purple and brick red pistils throughout The smell is earthy and sweet but shows off berry and stone fruit after grinding and on the exhale This indicadominant strain offers traditional sedative effects that curb physical discomfort insomnia and ignite the appetite Utilize this strain later in the day to harness the best it has to offer  ,1
African,sativa,3,EuphoricEnergeticArousedTinglyCreative,SpicyHerbalPungentPepper,African refers tothe indigenous varieties of cannabis orlandraces that grow natively in this region of the world Because of this regions latitude and climate these native landrace strains tend to besativain structure and effect,0
